Period (days),Log of Amplitude
381.8603221,5.134013033
382.1250993,5.133224495
382.39006,5.13242731
382.6552045,5.131621478
382.9205328,5.130807002
383.1860451,5.129983882
383.4517415,5.129152119
383.7176221,5.128311714
383.9836871,5.127462668
384.2499366,5.126604983
384.5163707,5.125738658
384.7829895,5.124863695
385.0497932,5.123980095
385.3167819,5.123087857
385.5839557,5.122186984
385.8513148,5.121277475
386.1188593,5.12035933
386.3865893,5.119432551
386.6545049,5.118497138
386.9226063,5.117553091
387.1908936,5.11660041
387.4593669,5.115639095
387.7280263,5.114669147
387.9968721,5.113690565
388.2659043,5.11270335
388.535123,5.1117075
388.8045283,5.110703017
389.0741205,5.1096899
389.3438997,5.108668148
389.6138658,5.10763776
389.8840192,5.106598737
390.1543599,5.105551077
390.424888,5.104494779
390.6956038,5.103429844
390.9665072,5.102356269
391.2375985,5.101274053
391.5088777,5.100183197
391.7803451,5.099083697
392.0520006,5.097975553
392.3238446,5.096858763
392.595877,5.095733326
392.8680981,5.09459924
393.1405079,5.093456502
393.4131066,5.092305112
393.6858943,5.091145066
393.9588712,5.089976363
394.2320373,5.088799
394.5053929,5.087612975
394.7789379,5.086418286
395.0526727,5.085214929
395.3265973,5.084002901
395.6007118,5.082782201
395.8750164,5.081552824
396.1495111,5.080314768
396.4241962,5.079068028
396.6990718,5.077812603
396.974138,5.076548487
397.2493949,5.075275677
397.5248426,5.07399417
397.8004814,5.072703961
398.0763112,5.071405047
398.3523323,5.070097422
398.6285449,5.068781082
398.9049489,5.067456024
399.1815446,5.066122242
399.4583321,5.06477973
399.7353115,5.063428486
400.0124829,5.062068502
400.2898466,5.060699774
400.5674025,5.059322297
400.8451509,5.057936064
401.1230919,5.056541071
401.4012257,5.055137311
401.6795522,5.053724779
401.9580718,5.052303467
402.2367845,5.050873371
402.5156904,5.049434483
402.7947898,5.047986798
403.0740826,5.046530307
403.3535691,5.045065006
403.6332494,5.043590885
403.9131237,5.042107939
404.193192,5.040616161
404.4734545,5.039115542
404.7539113,5.037606075
405.0345626,5.036087754
405.3154085,5.034560569
405.5964491,5.033024513
405.8776846,5.031479578
406.1591151,5.029925755
406.4407407,5.028363038
406.7225616,5.026791416
407.004578,5.025210882
407.2867898,5.023621427
407.5691974,5.022023041
407.8518007,5.020415717
408.1346001,5.018799445
408.4175955,5.017174216
408.7007871,5.015540021
408.9841751,5.01389685
409.2677596,5.012244694
409.5515408,5.010583544
409.8355187,5.008913389
410.1196935,5.00723422
410.4040653,5.005546028
410.6886344,5.003848801
410.9734007,5.002142531
411.2583645,5.000427207
411.5435259,4.998702818
411.828885,4.996969355
412.114442,4.995226808
412.400197,4.993475165
412.6861501,4.991714416
412.9723015,4.989944552
413.2586514,4.98816556
413.5451997,4.986377432
413.8319468,4.984580155
414.1188927,4.982773719
414.4060375,4.980958114
414.6933815,4.979133328
414.9809247,4.977299351
415.2686672,4.975456173
415.5566093,4.973603781
415.8447511,4.971742166
416.1330926,4.969871316
416.4216341,4.96799122
416.7103756,4.966101869
416.9993173,4.96420325
417.2884594,4.962295353
417.577802,4.960378167
417.8673452,4.958451683
418.1570892,4.956515887
418.4470341,4.954570772
418.73718,4.952616324
419.0275271,4.950652535
419.3180756,4.948679393
419.6088255,4.946696889
419.899777,4.944705012
420.1909302,4.942703751
420.4822853,4.940693097
420.7738425,4.93867304
421.0656018,4.93664357
421.3575634,4.934604676
421.6497274,4.932556351
421.9420941,4.930498584
422.2346634,4.928431365
422.5274357,4.926354687
422.8204109,4.924268539
423.1135893,4.922172914
423.4069709,4.920067802
423.700556,4.917953196
423.9943447,4.915829087
424.288337,4.913695468
424.5825332,4.911552331
424.8769334,4.909399668
425.1715378,4.907237473
425.4663464,4.905065739
425.7613594,4.902884458
426.056577,4.900693626
426.3519993,4.898493236
426.6476264,4.896283282
426.9434585,4.89406376
427.2394958,4.891834665
427.5357383,4.889595991
427.8321862,4.887347736
428.1288397,4.885089895
428.4256989,4.882822464
428.7227639,4.880545442
429.0200349,4.878258826
429.317512,4.875962613
429.6151954,4.873656803
429.9130851,4.871341393
430.2111815,4.869016385
430.5094845,4.866681777
430.8079944,4.86433757
431.1067113,4.861983766
431.4056353,4.859620366
431.7047665,4.857247372
432.0041052,4.854864787
432.3036514,4.852472615
432.6034053,4.85007086
432.9033671,4.847659526
433.2035369,4.845238618
433.5039148,4.842808144
433.804501,4.84036811
434.1052956,4.837918523
434.4062987,4.835459391
434.7075106,4.832990724
435.0089314,4.830512532
435.3105611,4.828024826
435.6124,4.825527616
435.9144482,4.823020915
436.2167058,4.820504736
436.519173,4.817979094
436.8218499,4.815444004
437.1247367,4.812899481
437.4278335,4.810345542
437.7311405,4.807782205
438.0346578,4.80520949
438.3383855,4.802627416
438.6423238,4.800036004
438.9464729,4.797435277
439.2508329,4.794825257
439.5554039,4.792205968
439.8601861,4.789577437
440.1651797,4.786939689
440.4703847,4.784292753
440.7758013,4.781636657
441.0814298,4.778971432
441.3872701,4.77629711
441.6933225,4.773613723
441.9995871,4.770921305
442.3060641,4.768219893
442.6127535,4.765509522
